Tinggi (cm),Berat (kg),Tingkat Aktivitas,Tujuan,Kategori,Durasi (menit),Kalori Terbakar,Umur,Jenis Kelamin,Rekomendasi Olahraga
170,49,Sedang,Peningkatan Massa Otot,Kekuatan,62,585,52,Wanita,Angkat Beban
181,96,Sedang,Penurunan Berat Badan,Fleksibilitas,67,442,28,Wanita,Senam
197,109,Tinggi,Peningkatan Massa Otot,Kardio,39,395,21,Pria,Bersepeda
196,44,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,90,231,28,Wanita,Senam
199,104,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,61,172,59,Wanita,Senam
175,61,Rendah,Peningkatan Massa Otot,Fleksibilitas,31,661,50,Pria,Senam
151,74,Rendah,Pemeliharaan Kebugaran,Kekuatan,68,680,46,Pria,Angkat Beban
140,111,Sedang,Penurunan Berat Badan,Kekuatan,84,172,37,Pria,Angkat Beban
173,66,Rendah,Penurunan Berat Badan,Fleksibilitas,72,328,30,Pria,Senam
153,115,Tinggi,Peningkatan Massa Otot,Kekuatan,40,386,50,Pria,Angkat Beban
181,77,Sedang,Peningkatan Massa Otot,Fleksibilitas,74,667,53,Wanita,Senam
140,40,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,48,637,32,Pria,Senam
184,86,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,57,377,49,Wanita,Senam
168,94,Tinggi,Peningkatan Massa Otot,Kardio,76,509,23,Wanita,Bersepeda
144,49,Rendah,Peningkatan Massa Otot,Kardio,73,271,43,Wanita,Bersepeda
179,83,Tinggi,Penurunan Berat Badan,Kardio,63,286,22,Wanita,Lari
173,67,Tinggi,Peningkatan Massa Otot,Kardio,52,273,36,Pria,Bersepeda
160,61,Tinggi,Peningkatan Massa Otot,Kardio,57,216,19,Wanita,Bersepeda
200,87,Sedang,Penurunan Berat Badan,Kekuatan,31,309,60,Wanita,Angkat Beban
182,54,Rendah,Penurunan Berat Badan,Kardio,39,549,38,Wanita,Lari
183,76,Rendah,Peningkatan Massa Otot,Fleksibilitas,35,602,59,Pria,Senam
167,107,Sedang,Pemeliharaan Kebugaran,Kekuatan,30,472,35,Pria,Angkat Beban
192,115,Rendah,Peningkatan Massa Otot,Fleksibilitas,89,586,64,Pria,Senam
153,40,Rendah,Peningkatan Massa Otot,Fleksibilitas,73,683,34,Wanita,Senam
160,65,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,46,369,44,Pria,Senam
175,78,Rendah,Peningkatan Massa Otot,Fleksibilitas,50,656,32,Wanita,Senam
162,52,Sedang,Pemeliharaan Kebugaran,Kekuatan,62,203,58,Wanita,Angkat Beban
183,117,Rendah,Penurunan Berat Badan,Kekuatan,73,693,26,Wanita,Angkat Beban
175,113,Tinggi,Peningkatan Massa Otot,Kekuatan,54,322,37,Pria,Angkat Beban
161,104,Sedang,Pemeliharaan Kebugaran,Kekuatan,78,525,62,Wanita,Angkat Beban
167,80,Sedang,Peningkatan Massa Otot,Kardio,83,502,36,Pria,Bersepeda
199,91,Sedang,Pemeliharaan Kebugaran,Kardio,70,431,48,Pria,Bersepeda
146,90,Tinggi,Peningkatan Massa Otot,Kardio,49,504,39,Wanita,Bersepeda
187,67,Rendah,Penurunan Berat Badan,Fleksibilitas,37,657,57,Wanita,Senam
184,57,Tinggi,Peningkatan Massa Otot,Kardio,75,592,64,Wanita,Bersepeda
188,89,Tinggi,Pemeliharaan Kebugaran,Kekuatan,69,342,48,Wanita,Angkat Beban
144,107,Sedang,Peningkatan Massa Otot,Kekuatan,65,168,24,Wanita,Angkat Beban
177,92,Rendah,Penurunan Berat Badan,Kekuatan,65,518,63,Wanita,Angkat Beban
173,71,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,37,317,39,Pria,Senam
182,68,Sedang,Penurunan Berat Badan,Kekuatan,89,621,30,Wanita,Angkat Beban
174,108,Rendah,Peningkatan Massa Otot,Kekuatan,33,278,21,Pria,Angkat Beban
142,50,Rendah,Penurunan Berat Badan,Kardio,85,621,56,Wanita,Lari
174,50,Sedang,Penurunan Berat Badan,Kardio,77,605,62,Wanita,Lari
171,48,Tinggi,Peningkatan Massa Otot,Kardio,61,584,47,Pria,Bersepeda
165,66,Tinggi,Peningkatan Massa Otot,Fleksibilitas,40,180,35,Wanita,Senam
145,67,Sedang,Penurunan Berat Badan,Fleksibilitas,40,213,42,Pria,Senam
172,78,Sedang,Penurunan Berat Badan,Kekuatan,44,320,29,Wanita,Angkat Beban
191,42,Sedang,Pemeliharaan Kebugaran,Kardio,88,259,39,Wanita,Bersepeda
198,102,Tinggi,Peningkatan Massa Otot,Kekuatan,81,282,25,Wanita,Angkat Beban
166,54,Sedang,Penurunan Berat Badan,Fleksibilitas,49,565,42,Wanita,Senam
191,95,Tinggi,Penurunan Berat Badan,Kardio,64,310,26,Wanita,Lari
185,51,Sedang,Penurunan Berat Badan,Kekuatan,39,593,41,Wanita,Angkat Beban
156,85,Tinggi,Pemeliharaan Kebugaran,Kekuatan,52,647,64,Pria,Angkat Beban
188,120,Rendah,Peningkatan Massa Otot,Kardio,34,212,43,Pria,Bersepeda
179,63,Tinggi,Pemeliharaan Kebugaran,Kardio,68,610,53,Wanita,Bersepeda
171,63,Rendah,Peningkatan Massa Otot,Kekuatan,46,433,24,Wanita,Angkat Beban
158,91,Tinggi,Peningkatan Massa Otot,Kekuatan,68,553,33,Pria,Angkat Beban
199,65,Sedang,Peningkatan Massa Otot,Kekuatan,90,357,45,Wanita,Angkat Beban
180,107,Tinggi,Penurunan Berat Badan,Kardio,76,477,34,Wanita,Lari
193,112,Rendah,Penurunan Berat Badan,Fleksibilitas,46,550,48,Wanita,Senam
184,93,Tinggi,Penurunan Berat Badan,Kekuatan,58,650,28,Wanita,Angkat Beban
170,93,Tinggi,Peningkatan Massa Otot,Kardio,50,545,47,Wanita,Bersepeda
173,78,Sedang,Peningkatan Massa Otot,Kardio,79,453,46,Pria,Bersepeda
173,41,Tinggi,Pemeliharaan Kebugaran,Kekuatan,59,478,65,Wanita,Angkat Beban
196,118,Sedang,Penurunan Berat Badan,Kekuatan,63,290,48,Wanita,Angkat Beban
180,44,Rendah,Peningkatan Massa Otot,Kardio,53,668,31,Wanita,Bersepeda
170,114,Sedang,Peningkatan Massa Otot,Fleksibilitas,71,489,51,Pria,Senam
168,76,Rendah,Pemeliharaan Kebugaran,Kardio,37,426,62,Wanita,Bersepeda
143,107,Sedang,Pemeliharaan Kebugaran,Kekuatan,31,628,27,Wanita,Angkat Beban
168,42,Tinggi,Pemeliharaan Kebugaran,Kardio,60,594,24,Wanita,Bersepeda
167,96,Sedang,Pemeliharaan Kebugaran,Kardio,81,686,46,Wanita,Bersepeda
188,84,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,89,353,18,Wanita,Senam
171,108,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,56,180,18,Pria,Senam
188,100,Rendah,Peningkatan Massa Otot,Kekuatan,86,675,23,Wanita,Angkat Beban
168,105,Rendah,Peningkatan Massa Otot,Fleksibilitas,58,291,38,Pria,Senam
163,90,Tinggi,Peningkatan Massa Otot,Fleksibilitas,76,193,21,Pria,Senam
166,64,Sedang,Penurunan Berat Badan,Kekuatan,62,614,51,Wanita,Angkat Beban
199,93,Tinggi,Pemeliharaan Kebugaran,Kekuatan,54,387,40,Pria,Angkat Beban
200,68,Rendah,Penurunan Berat Badan,Fleksibilitas,71,202,39,Pria,Senam
162,57,Rendah,Peningkatan Massa Otot,Fleksibilitas,44,225,54,Pria,Senam
170,66,Rendah,Penurunan Berat Badan,Kardio,42,641,48,Pria,Lari
166,63,Tinggi,Peningkatan Massa Otot,Fleksibilitas,47,645,19,Pria,Senam
173,96,Rendah,Penurunan Berat Badan,Fleksibilitas,74,557,29,Wanita,Senam
159,92,Sedang,Peningkatan Massa Otot,Kardio,61,569,53,Wanita,Bersepeda
164,64,Tinggi,Peningkatan Massa Otot,Fleksibilitas,69,419,47,Pria,Senam
195,43,Tinggi,Peningkatan Massa Otot,Kardio,31,304,20,Pria,Bersepeda
178,116,Sedang,Peningkatan Massa Otot,Kardio,65,178,60,Wanita,Bersepeda
156,101,Sedang,Penurunan Berat Badan,Fleksibilitas,76,568,22,Wanita,Senam
150,108,Tinggi,Penurunan Berat Badan,Fleksibilitas,65,358,28,Wanita,Senam
192,40,Sedang,Penurunan Berat Badan,Kekuatan,54,381,26,Wanita,Angkat Beban
174,65,Rendah,Penurunan Berat Badan,Kekuatan,45,204,20,Pria,Angkat Beban
185,111,Tinggi,Peningkatan Massa Otot,Kekuatan,84,358,21,Wanita,Angkat Beban
157,116,Sedang,Penurunan Berat Badan,Kekuatan,77,419,50,Pria,Angkat Beban
169,107,Rendah,Penurunan Berat Badan,Kardio,52,380,28,Wanita,Lari
172,101,Rendah,Pemeliharaan Kebugaran,Kardio,37,658,60,Wanita,Bersepeda
184,62,Tinggi,Pemeliharaan Kebugaran,Kardio,50,456,61,Pria,Bersepeda
166,72,Rendah,Penurunan Berat Badan,Kardio,63,464,18,Pria,Lari
171,112,Sedang,Peningkatan Massa Otot,Kardio,60,563,22,Pria,Bersepeda
181,56,Sedang,Peningkatan Massa Otot,Fleksibilitas,36,498,59,Wanita,Senam
180,105,Tinggi,Pemeliharaan Kebugaran,Kardio,43,539,65,Pria,Bersepeda
146,48,Tinggi,Pemeliharaan Kebugaran,Kardio,42,566,32,Wanita,Bersepeda
187,50,Sedang,Peningkatan Massa Otot,Kekuatan,37,559,44,Wanita,Angkat Beban
151,68,Sedang,Peningkatan Massa Otot,Kekuatan,69,454,59,Wanita,Angkat Beban
160,93,Sedang,Peningkatan Massa Otot,Fleksibilitas,84,281,44,Pria,Senam
183,95,Rendah,Penurunan Berat Badan,Kekuatan,60,219,39,Wanita,Angkat Beban
176,112,Sedang,Pemeliharaan Kebugaran,Kekuatan,57,328,42,Wanita,Angkat Beban
192,45,Sedang,Peningkatan Massa Otot,Fleksibilitas,76,176,27,Wanita,Senam
189,119,Sedang,Pemeliharaan Kebugaran,Kekuatan,34,572,18,Pria,Angkat Beban
187,77,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,44,276,34,Pria,Senam
180,92,Sedang,Penurunan Berat Badan,Fleksibilitas,37,313,64,Pria,Senam
166,111,Tinggi,Pemeliharaan Kebugaran,Kekuatan,51,498,20,Pria,Angkat Beban
142,41,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,48,165,30,Pria,Senam
191,65,Sedang,Peningkatan Massa Otot,Kekuatan,64,452,39,Pria,Angkat Beban
162,77,Sedang,Pemeliharaan Kebugaran,Kekuatan,30,251,38,Wanita,Angkat Beban
180,61,Tinggi,Peningkatan Massa Otot,Fleksibilitas,56,588,64,Wanita,Senam
187,66,Sedang,Penurunan Berat Badan,Fleksibilitas,77,160,28,Wanita,Senam
173,62,Sedang,Penurunan Berat Badan,Kardio,90,341,61,Wanita,Lari
186,91,Tinggi,Penurunan Berat Badan,Kekuatan,39,200,43,Pria,Angkat Beban
179,68,Tinggi,Penurunan Berat Badan,Kardio,85,211,59,Pria,Lari
143,63,Rendah,Penurunan Berat Badan,Kekuatan,68,246,32,Wanita,Angkat Beban
169,96,Tinggi,Peningkatan Massa Otot,Kekuatan,86,184,55,Wanita,Angkat Beban
173,83,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,53,468,22,Wanita,Senam
167,105,Sedang,Penurunan Berat Badan,Fleksibilitas,37,655,48,Pria,Senam
179,61,Rendah,Pemeliharaan Kebugaran,Kekuatan,41,431,61,Wanita,Angkat Beban
146,87,Sedang,Penurunan Berat Badan,Kekuatan,36,335,47,Wanita,Angkat Beban
186,50,Tinggi,Penurunan Berat Badan,Kekuatan,61,407,53,Wanita,Angkat Beban
156,103,Sedang,Penurunan Berat Badan,Kardio,85,283,33,Pria,Lari
172,83,Rendah,Peningkatan Massa Otot,Kardio,45,655,37,Pria,Bersepeda
190,76,Sedang,Penurunan Berat Badan,Kardio,39,250,28,Wanita,Lari
158,88,Sedang,Pemeliharaan Kebugaran,Kardio,69,275,50,Pria,Bersepeda
149,98,Rendah,Peningkatan Massa Otot,Fleksibilitas,53,399,47,Wanita,Senam
198,56,Rendah,Penurunan Berat Badan,Kekuatan,63,597,42,Pria,Angkat Beban
194,83,Tinggi,Pemeliharaan Kebugaran,Kekuatan,78,275,26,Wanita,Angkat Beban
156,119,Rendah,Pemeliharaan Kebugaran,Kekuatan,70,673,35,Pria,Angkat Beban
159,56,Rendah,Pemeliharaan Kebugaran,Kardio,53,185,51,Pria,Bersepeda
158,84,Tinggi,Peningkatan Massa Otot,Fleksibilitas,71,270,35,Wanita,Senam
177,97,Rendah,Peningkatan Massa Otot,Kardio,30,589,59,Pria,Bersepeda
169,40,Sedang,Pemeliharaan Kebugaran,Kekuatan,42,498,30,Wanita,Angkat Beban
146,102,Sedang,Peningkatan Massa Otot,Kekuatan,57,163,55,Wanita,Angkat Beban
164,59,Sedang,Pemeliharaan Kebugaran,Kardio,78,161,39,Wanita,Bersepeda
199,98,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,50,301,46,Pria,Senam
150,114,Sedang,Peningkatan Massa Otot,Kardio,85,645,46,Wanita,Bersepeda
175,106,Rendah,Pemeliharaan Kebugaran,Kardio,44,169,48,Wanita,Bersepeda
152,66,Tinggi,Penurunan Berat Badan,Kekuatan,39,164,33,Pria,Angkat Beban
160,117,Rendah,Pemeliharaan Kebugaran,Kekuatan,32,285,56,Pria,Angkat Beban
167,86,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,79,431,46,Pria,Senam
188,103,Rendah,Peningkatan Massa Otot,Kekuatan,67,453,50,Pria,Angkat Beban
184,42,Rendah,Penurunan Berat Badan,Kekuatan,88,256,41,Wanita,Angkat Beban
167,110,Rendah,Penurunan Berat Badan,Kekuatan,30,281,57,Wanita,Angkat Beban
151,41,Sedang,Penurunan Berat Badan,Kekuatan,85,247,42,Pria,Angkat Beban
160,40,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,88,469,24,Wanita,Senam
189,67,Sedang,Penurunan Berat Badan,Fleksibilitas,42,181,36,Wanita,Senam
176,51,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,72,239,27,Wanita,Senam
173,58,Sedang,Peningkatan Massa Otot,Fleksibilitas,76,452,20,Pria,Senam
196,59,Tinggi,Pemeliharaan Kebugaran,Kardio,65,174,44,Pria,Bersepeda
193,47,Tinggi,Peningkatan Massa Otot,Kardio,68,549,48,Wanita,Bersepeda
157,117,Sedang,Penurunan Berat Badan,Kardio,85,291,21,Wanita,Lari
169,82,Rendah,Peningkatan Massa Otot,Kekuatan,45,583,19,Pria,Angkat Beban
153,109,Sedang,Pemeliharaan Kebugaran,Kekuatan,85,460,63,Pria,Angkat Beban
154,113,Rendah,Peningkatan Massa Otot,Kekuatan,39,266,27,Wanita,Angkat Beban
153,64,Sedang,Peningkatan Massa Otot,Fleksibilitas,61,373,41,Pria,Senam
161,112,Sedang,Peningkatan Massa Otot,Kardio,77,361,54,Wanita,Bersepeda
185,62,Sedang,Peningkatan Massa Otot,Kekuatan,50,520,52,Pria,Angkat Beban
176,112,Sedang,Pemeliharaan Kebugaran,Kekuatan,75,284,35,Wanita,Angkat Beban
162,54,Tinggi,Penurunan Berat Badan,Kekuatan,36,290,58,Wanita,Angkat Beban
162,67,Tinggi,Penurunan Berat Badan,Fleksibilitas,49,675,28,Wanita,Senam
179,57,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,34,521,41,Pria,Senam
193,46,Rendah,Pemeliharaan Kebugaran,Kardio,69,434,59,Wanita,Bersepeda
185,98,Rendah,Pemeliharaan Kebugaran,Kardio,78,286,33,Pria,Bersepeda
173,50,Sedang,Peningkatan Massa Otot,Kekuatan,55,529,32,Pria,Angkat Beban
182,68,Rendah,Peningkatan Massa Otot,Kekuatan,79,534,47,Pria,Angkat Beban
149,65,Rendah,Penurunan Berat Badan,Kardio,76,649,46,Pria,Lari
169,108,Tinggi,Penurunan Berat Badan,Kekuatan,70,680,28,Wanita,Angkat Beban
182,49,Rendah,Penurunan Berat Badan,Kardio,47,344,43,Wanita,Lari
151,112,Tinggi,Peningkatan Massa Otot,Kekuatan,45,344,22,Wanita,Angkat Beban
187,53,Tinggi,Penurunan Berat Badan,Fleksibilitas,66,563,21,Pria,Senam
181,98,Tinggi,Penurunan Berat Badan,Kardio,45,349,25,Pria,Lari
172,64,Tinggi,Pemeliharaan Kebugaran,Kekuatan,89,298,24,Pria,Angkat Beban
154,116,Rendah,Penurunan Berat Badan,Kekuatan,39,272,45,Pria,Angkat Beban
199,42,Rendah,Peningkatan Massa Otot,Kardio,81,407,56,Pria,Bersepeda
177,78,Tinggi,Penurunan Berat Badan,Fleksibilitas,51,472,62,Pria,Senam
183,99,Sedang,Peningkatan Massa Otot,Kardio,53,263,35,Pria,Bersepeda
156,91,Rendah,Pemeliharaan Kebugaran,Kardio,31,451,24,Wanita,Bersepeda
154,55,Rendah,Pemeliharaan Kebugaran,Kekuatan,79,656,18,Wanita,Angkat Beban
145,104,Sedang,Penurunan Berat Badan,Fleksibilitas,36,339,28,Pria,Senam
182,86,Tinggi,Peningkatan Massa Otot,Kardio,83,480,58,Pria,Bersepeda
141,42,Tinggi,Peningkatan Massa Otot,Fleksibilitas,68,425,43,Wanita,Senam
174,50,Tinggi,Penurunan Berat Badan,Kardio,68,259,36,Wanita,Lari
188,78,Tinggi,Penurunan Berat Badan,Kekuatan,39,375,26,Wanita,Angkat Beban
171,49,Rendah,Penurunan Berat Badan,Kardio,46,210,51,Wanita,Lari
140,52,Sedang,Peningkatan Massa Otot,Fleksibilitas,50,400,27,Pria,Senam
186,49,Rendah,Pemeliharaan Kebugaran,Kardio,46,670,47,Wanita,Bersepeda
198,63,Tinggi,Penurunan Berat Badan,Fleksibilitas,63,622,63,Pria,Senam
179,98,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,61,563,57,Wanita,Senam
157,110,Sedang,Peningkatan Massa Otot,Kekuatan,52,547,33,Wanita,Angkat Beban
153,94,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,80,366,30,Wanita,Senam
187,70,Tinggi,Penurunan Berat Badan,Fleksibilitas,90,368,54,Pria,Senam
196,60,Rendah,Peningkatan Massa Otot,Fleksibilitas,65,605,56,Wanita,Senam
193,110,Tinggi,Pemeliharaan Kebugaran,Kekuatan,78,176,27,Pria,Angkat Beban
186,102,Sedang,Pemeliharaan Kebugaran,Kekuatan,88,604,52,Wanita,Angkat Beban
180,56,Rendah,Peningkatan Massa Otot,Kekuatan,89,444,21,Pria,Angkat Beban
170,95,Rendah,Pemeliharaan Kebugaran,Kekuatan,60,599,31,Pria,Angkat Beban
161,110,Sedang,Peningkatan Massa Otot,Kardio,73,491,28,Wanita,Bersepeda
165,90,Rendah,Peningkatan Massa Otot,Kardio,66,343,58,Pria,Bersepeda
171,81,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,57,353,33,Pria,Senam
140,71,Sedang,Pemeliharaan Kebugaran,Kekuatan,74,629,28,Wanita,Angkat Beban
180,120,Tinggi,Penurunan Berat Badan,Fleksibilitas,89,629,29,Pria,Senam
192,63,Sedang,Penurunan Berat Badan,Kardio,69,386,44,Wanita,Lari
148,118,Rendah,Peningkatan Massa Otot,Fleksibilitas,36,442,46,Pria,Senam
172,52,Rendah,Peningkatan Massa Otot,Fleksibilitas,31,494,64,Pria,Senam
192,53,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,87,482,18,Wanita,Senam
180,67,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,58,162,62,Wanita,Senam
144,107,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,84,691,41,Wanita,Senam
161,120,Tinggi,Penurunan Berat Badan,Kekuatan,39,478,28,Pria,Angkat Beban
150,86,Tinggi,Penurunan Berat Badan,Kardio,83,259,21,Pria,Lari
158,46,Rendah,Peningkatan Massa Otot,Kardio,31,198,43,Pria,Bersepeda
165,48,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,30,294,39,Pria,Senam
190,117,Rendah,Penurunan Berat Badan,Fleksibilitas,75,477,34,Pria,Senam
154,90,Sedang,Penurunan Berat Badan,Kekuatan,87,182,30,Pria,Angkat Beban
168,53,Sedang,Peningkatan Massa Otot,Fleksibilitas,78,521,20,Pria,Senam
198,104,Sedang,Penurunan Berat Badan,Kekuatan,65,267,47,Pria,Angkat Beban
150,46,Sedang,Peningkatan Massa Otot,Kekuatan,65,328,38,Pria,Angkat Beban
191,43,Sedang,Peningkatan Massa Otot,Kekuatan,36,179,65,Pria,Angkat Beban
196,40,Sedang,Penurunan Berat Badan,Kekuatan,46,529,41,Wanita,Angkat Beban
190,53,Tinggi,Peningkatan Massa Otot,Kardio,33,584,18,Wanita,Bersepeda
154,102,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,38,226,25,Wanita,Senam
143,58,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,34,249,23,Wanita,Senam
191,91,Tinggi,Peningkatan Massa Otot,Fleksibilitas,84,425,25,Wanita,Senam
190,59,Sedang,Penurunan Berat Badan,Kekuatan,81,266,50,Wanita,Angkat Beban
200,43,Sedang,Penurunan Berat Badan,Kekuatan,83,582,49,Wanita,Angkat Beban
145,71,Rendah,Penurunan Berat Badan,Fleksibilitas,36,324,55,Wanita,Senam
150,43,Tinggi,Peningkatan Massa Otot,Kardio,40,199,52,Wanita,Bersepeda
183,95,Rendah,Penurunan Berat Badan,Kekuatan,35,686,51,Wanita,Angkat Beban
144,56,Tinggi,Pemeliharaan Kebugaran,Kekuatan,81,671,45,Pria,Angkat Beban
150,88,Sedang,Penurunan Berat Badan,Kekuatan,73,456,60,Pria,Angkat Beban
195,72,Tinggi,Pemeliharaan Kebugaran,Kekuatan,43,555,50,Pria,Angkat Beban
177,48,Tinggi,Penurunan Berat Badan,Kekuatan,50,672,63,Wanita,Angkat Beban
194,62,Sedang,Peningkatan Massa Otot,Kekuatan,51,192,31,Wanita,Angkat Beban
165,49,Tinggi,Peningkatan Massa Otot,Fleksibilitas,62,550,63,Pria,Senam
195,98,Sedang,Peningkatan Massa Otot,Kekuatan,78,697,41,Pria,Angkat Beban
188,86,Rendah,Peningkatan Massa Otot,Fleksibilitas,77,453,58,Wanita,Senam
169,69,Tinggi,Pemeliharaan Kebugaran,Kardio,49,185,41,Pria,Bersepeda
152,102,Tinggi,Pemeliharaan Kebugaran,Kekuatan,49,401,47,Pria,Angkat Beban
200,102,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,71,643,45,Pria,Senam
178,81,Tinggi,Penurunan Berat Badan,Kardio,88,388,53,Pria,Lari
144,82,Tinggi,Penurunan Berat Badan,Fleksibilitas,36,539,47,Wanita,Senam
161,50,Sedang,Peningkatan Massa Otot,Kekuatan,44,275,27,Pria,Angkat Beban
164,119,Tinggi,Penurunan Berat Badan,Fleksibilitas,47,328,51,Wanita,Senam
157,56,Rendah,Penurunan Berat Badan,Fleksibilitas,56,397,45,Wanita,Senam
149,118,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,58,349,29,Pria,Senam
194,102,Sedang,Peningkatan Massa Otot,Kardio,49,459,53,Pria,Bersepeda
186,88,Sedang,Pemeliharaan Kebugaran,Kekuatan,63,506,31,Pria,Angkat Beban
151,111,Tinggi,Penurunan Berat Badan,Fleksibilitas,42,297,24,Wanita,Senam
199,72,Rendah,Penurunan Berat Badan,Kekuatan,75,247,38,Wanita,Angkat Beban
176,82,Tinggi,Pemeliharaan Kebugaran,Kekuatan,82,529,56,Wanita,Angkat Beban
198,86,Sedang,Penurunan Berat Badan,Kekuatan,56,591,51,Wanita,Angkat Beban
190,63,Tinggi,Peningkatan Massa Otot,Kardio,78,266,50,Wanita,Bersepeda
179,80,Rendah,Pemeliharaan Kebugaran,Kekuatan,52,397,52,Wanita,Angkat Beban
181,98,Tinggi,Penurunan Berat Badan,Kekuatan,51,385,65,Wanita,Angkat Beban
148,55,Rendah,Penurunan Berat Badan,Fleksibilitas,73,525,44,Wanita,Senam
144,85,Rendah,Peningkatan Massa Otot,Kardio,79,153,41,Pria,Bersepeda
169,120,Rendah,Peningkatan Massa Otot,Fleksibilitas,43,435,40,Pria,Senam
145,65,Rendah,Pemeliharaan Kebugaran,Kardio,47,433,30,Wanita,Bersepeda
191,109,Sedang,Pemeliharaan Kebugaran,Kardio,81,213,65,Pria,Bersepeda
167,79,Rendah,Peningkatan Massa Otot,Fleksibilitas,50,561,56,Wanita,Senam
166,57,Sedang,Pemeliharaan Kebugaran,Kardio,76,248,48,Wanita,Bersepeda
